,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,variable,motivo
23800,2.0,1.0,,38.0,33.0,75500.0,Departamento,bathrooms,Descartado por dato faltante
23803,2.0,1.0,,50.0,46.0,165000.0,Departamento,bathrooms,Descartado por dato faltante
23814,2.0,1.0,,85.0,50.0,170000.0,Departamento,bathrooms,Descartado por dato faltante
23815,2.0,1.0,,100.0,60.0,170000.0,Departamento,bathrooms,Descartado por dato faltante
23818,2.0,1.0,,50.0,45.0,140000.0,Departamento,bathrooms,Descartado por dato faltante
23819,2.0,1.0,,81.0,71.0,189000.0,Departamento,bathrooms,Descartado por dato faltante
23824,2.0,1.0,,50.0,48.0,178000.0,Departamento,bathrooms,Descartado por dato faltante
23831,2.0,1.0,,41.0,38.0,105000.0,Departamento,bathrooms,Descartado por dato faltante
23850,3.0,2.0,,72.0,69.0,260000.0,Departamento,bathrooms,Descartado por dato faltante
23890,4.0,3.0,,90.0,75.0,160000.0,Departamento,bathrooms,Descartado por dato faltante
24501,2.0,1.0,,73.0,54.0,225000.0,Departamento,bathrooms,Descartado por dato faltante
25002,2.0,1.0,,38.0,38.0,78000.0,Departamento,bathrooms,Descartado por dato faltante
26565,4.0,3.0,,182.0,86.0,430000.0,Departamento,bathrooms,Descartado por dato faltante
26991,5.0,4.0,,241.0,241.0,970000.0,Departamento,bathrooms,Descartado por dato faltante
27208,4.0,3.0,,114.0,90.0,118000.0,Departamento,bathrooms,Descartado por dato faltante
27232,1.0,0.0,,54.0,35.0,224000.0,Departamento,bathrooms,Descartado por dato faltante
27292,2.0,1.0,,62.0,62.0,128000.0,Departamento,bathrooms,Descartado por dato faltante
27347,3.0,2.0,,33.0,33.0,124241.0,Departamento,bathrooms,Descartado por dato faltante
27364,3.0,2.0,,108.0,100.0,218000.0,Departamento,bathrooms,Descartado por dato faltante
27365,3.0,2.0,,92.0,77.0,240000.0,Departamento,bathrooms,Descartado por dato faltante
27456,5.0,4.0,,73.0,67.0,226238.0,Departamento,bathrooms,Descartado por dato faltante
27457,5.0,4.0,,55.0,50.0,177852.0,Departamento,bathrooms,Descartado por dato faltante
27458,5.0,4.0,,73.0,67.0,216764.0,Departamento,bathrooms,Descartado por dato faltante
27459,5.0,4.0,,73.0,67.0,194684.0,Departamento,bathrooms,Descartado por dato faltante
27460,5.0,4.0,,78.0,67.0,266073.0,Departamento,bathrooms,Descartado por dato faltante
27461,5.0,4.0,,75.0,66.0,225673.0,Departamento,bathrooms,Descartado por dato faltante
27462,5.0,4.0,,63.0,58.0,192688.0,Departamento,bathrooms,Descartado por dato faltante
27463,5.0,4.0,,90.0,77.0,270036.0,Departamento,bathrooms,Descartado por dato faltante
27464,5.0,4.0,,58.0,53.0,182623.0,Departamento,bathrooms,Descartado por dato faltante
27465,5.0,4.0,,58.0,58.0,242804.0,Departamento,bathrooms,Descartado por dato faltante
27466,5.0,4.0,,63.0,58.0,181020.0,Departamento,bathrooms,Descartado por dato faltante
27467,5.0,4.0,,44.0,44.0,180551.0,Departamento,bathrooms,Descartado por dato faltante
27468,5.0,4.0,,63.0,59.0,168412.0,Departamento,bathrooms,Descartado por dato faltante
27469,5.0,4.0,,78.0,67.0,262568.0,Departamento,bathrooms,Descartado por dato faltante
27470,5.0,4.0,,85.0,77.0,282681.0,Departamento,bathrooms,Descartado por dato faltante
27471,5.0,4.0,,81.0,67.0,263086.0,Departamento,bathrooms,Descartado por dato faltante
